X...target.gene_info.symbol	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	target.gene_info.name	known_drug_binary
PRNP	0.0857145614150251	0	0	0	0	0.0102790931113456	0.0831447881371887	0	prion protein	0
CASP6	0.0850491805641223	0	0	0	0	0	0.0850491805641223	0	caspase 6	0
VEGFA	0.0848759147895045	0	0	0	0	0	0.0848759147895045	0	vascular endothelial growth factor A	0
TPSG1	0.0839493396122569	0	0	0	0	0	0.0839493396122569	0	tryptase gamma 1	0
IGF1	0.0832139050834173	0	0	0	0	0	0.0832139050834173	0	insulin like growth factor 1	0
C5orf67	0.0829369197316671	0.0829369197316671	0	0	0	0	0	0	chromosome 5 open reading frame 67	0
MELTF	0.0827483333333333	0	0	0	0	0	0.0827483333333333	0	melanotransferrin	0
MMP3	0.0825881415418327	0.06888	0	0	0	0	0.0548325661673307	0	matrix metallopeptidase 3	0
IDE	0.0825863097283441	0	0	0	0	0	0.0825863097283441	0	insulin degrading enzyme	0
ADAMTS9	0.0818122438134194	0.0818122438134194	0	0	0	0	0	0	ADAM metallopeptidase with thrombospondin type 1 motif 9	0
GAPDH	0.0813426740856694	0	0	0	0	0	0.0813426740856694	0	glyceraldehyde-3-phosphate dehydrogenase	0
SGCA	0.0807301433165023	0	0	0	0	0	0.0807301433165023	0	sarcoglycan alpha	0
ACKR2	0.08036	0.08036	0	0	0	0	0	0	atypical chemokine receptor 2	0
KCNV2	0.0799614846617951	0.0799614846617951	0	0	0	0	0	0	potassium voltage-gated channel modifier subfamily V member 2	0
IL1A	0.0796744713292208	0	0	0	0	0	0.0796744713292208	0	interleukin 1 alpha	0
MTOR	0.0793557690972459	0.0171070883044748	0	0	0	0	0.0750789970211272	0	mechanistic target of rapamycin	0
GFAP	0.078785165259345	0	0	0	0	0	0.078785165259345	0	glial fibrillary acidic protein	0
TGFB1	0.0786242798447701	0	0	0	0	0	0.0786242798447701	0	transforming growth factor beta 1	0
IL6R	0.0786021424550471	0.075479820523856	0	0	0	0	0.0144	0	interleukin 6 receptor	0
GRK2	0.0781272947845805	0	0	0	0	0	0.0781272947845805	0	G protein-coupled receptor kinase 2	0
C6orf15	0.0780555555555556	0	0	0	0	0	0.0780555555555556	0	chromosome 6 open reading frame 15	0
CP	0.0779001507387062	0	0	0	0	0	0.0779001507387062	0	ceruloplasmin	0
PTEN	0.0777947803754494	0	0	0	0	0	0.0777947803754494	0	phosphatase and tensin homolog	0
CALB2	0.0776732373464093	0	0	0	0	0	0.0776732373464093	0	calbindin 2	0
C9orf72	0.0775922066671238	0.0331844477728565	0	0	0	0.010707925120141	0.0681063252661162	0	chromosome 9 open reading frame 72	0
MSH6	0.0772780332587964	0.0772780332587964	0	0	0	0	0	0	mutS homolog 6	0
SNCA	0.0772351450339399	0	0	0	0	0.00662767799043901	0.0755782255363301	0	synuclein alpha	0
DHCR24	0.0770660354801459	0	0	0	0	0	0.0770660354801459	0	24-dehydrocholesterol reductase	0
EPO	0.0767937092749846	0	0	0	0	0	0.0767937092749846	0	erythropoietin	0
MLN	0.0763612810339221	0.0763612810339221	0	0	0	0	0	0	motilin	0
SERPINI1	0.0761839829656444	0	0	0	0	0.013502554475014	0.0728083443468909	0	serpin family I member 1	0
PPP1R9B	0.0760777777777778	0	0	0	0	0	0.0760777777777778	0	protein phosphatase 1 regulatory subunit 9B	0
MFGE8	0.0759996666666667	0	0	0	0	0	0.0759996666666667	0	milk fat globule-EGF factor 8 protein	0
RELN	0.0758215961609453	0.0154564341597079	0	0	0	0	0.0718236119945562	0	reelin	0
KL	0.0757055801971824	0.0331844477728565	0	0	0	0	0.0674094682539682	0	klotho	0
C16orf95	0.0755022269926927	0.0755022269926927	0	0	0	0	0	0	chromosome 16 open reading frame 95	0
SEC11C	0.0755022269926927	0.0755022269926927	0	0	0	0	0	0	SEC11 homolog C, signal peptidase complex subunit	0
ACE	0.0753462250597625	0.0436161170998517	0	0	0	0	0.0644421957847996	0	angiotensin I converting enzyme	0
RBM19	0.0747444876268388	0.0747444876268388	0	0	0	0	0	0	RNA binding motif protein 19	0
UBQLN1	0.0747237021392717	0	0	0	0	0	0.0747237021392717	0	ubiquilin 1	0
CHI3L1	0.0745619814062779	0	0	0	0	0	0.0745619814062779	0	chitinase 3 like 1	0
IL15	0.0743371111111111	0	0	0	0	0	0.0743371111111111	0	interleukin 15	0
MPO	0.0741228006620452	0	0	0	0	0	0.0741228006620452	0	myeloperoxidase	0
IL1B	0.0738409737236724	0	0	0	0	0	0.0738409737236724	0	interleukin 1 beta	0
A2M	0.0733852371197074	0	0	0	0	0	0.0733852371197074	0	alpha-2-macroglobulin	0
CRH	0.073309082324711	0	0	0	0	0	0.073309082324711	0	corticotropin releasing hormone	0
CYP2D6	0.07325850078993	0	0	0	0	0	0.07325850078993	0	cytochrome P450 family 2 subfamily D member 6	0
CTSD	0.0732387052803944	0	0	0	0	0	0.0732387052803944	0	cathepsin D	0
CSNK1G3	0.0731960665175928	0.0731960665175928	0	0	0	0	0	0	casein kinase 1 gamma 3	0
CASP3	0.0731821462941255	0	0	0	0	0	0.0731821462941255	0	caspase 3	0
MTHFR	0.0730667495887728	0.0198478243734577	0	0	0	0	0.0681047934954084	0	methylenetetrahydrofolate reductase	0
NGB	0.0728389794028723	0	0	0	0	0	0.0728389794028723	0	neuroglobin	0
CHMP2B	0.0725827777777778	0	0	0	0	0	0.0725827777777778	0	charged multivesicular body protein 2B	0
DISC1	0.0725626550939286	0.0632334328717064	0	0	0	0	0.0373168888888889	0	disrupted in schizophrenia 1	0
CST7	0.0724	0	0	0	0	0	0.0724	0	cystatin F	0
CD44	0.0722315142895569	0	0	0	0	0	0.0722315142895569	0	CD44 molecule (Indian blood group)	0
CD40	0.0717513277966491	0.0138407636102792	0	0	0	0	0.0682911368940793	0	CD40 molecule	0
MME	0.0716788129889625	0	0	0	0	0	0.0716788129889625	0	membrane metalloendopeptidase	0
TTR	0.0716493236231905	0.002702266867476	0	0	0	0	0.0709737569063215	0	transthyretin	0
HHEX	0.0715444444444445	0	0	0	0	0	0.0715444444444445	0	hematopoietically expressed homeobox	0
HTRA2	0.071140376606198	0	0	0	0	0	0.071140376606198	0	HtrA serine peptidase 2	0
ALOX5	0.0707255209475549	0	0	0	0	0	0.0707255209475549	0	arachidonate 5-lipoxygenase	0
GMNC	0.0707247755630571	0.0707247755630571	0	0	0	0	0	0	geminin coiled-coil domain containing	0
HGF	0.0705451972789116	0	0	0	0	0	0.0705451972789116	0	hepatocyte growth factor	0
S100B	0.0702721713947582	0	0	0	0	0	0.0702721713947582	0	S100 calcium binding protein B	0
CSF1R	0.0701433741496599	0	0	0	0	0	0.0701433741496599	0	colony stimulating factor 1 receptor	0
SNAP25	0.0701226742983008	0	0	0	0	0.0129495454826031	0.06688528792765	0	synaptosome associated protein 25	0
GSTM1	0.069929485260771	0	0	0	0	0	0.069929485260771	0	glutathione S-transferase mu 1	0
CYLC2	0.0699004705774067	0.0699004705774067	0	0	0	0	0	0	cylicin 2	0
MTR	0.0697302222222222	0	0	0	0	0	0.0697302222222222	0	5-methyltetrahydrofolate-homocysteine methyltransferase	0
TKT	0.0694394597786773	0	0	0	0	0	0.0694394597786773	0	transketolase	0
HMOX1	0.0694132442868099	0	0	0	0	0	0.0694132442868099	0	heme oxygenase 1	0
CD14	0.0693860632869061	0	0	0	0	0	0.0693860632869061	0	CD14 molecule	0
ALB	0.069129705742989	0	0	0	0	0	0.069129705742989	0	albumin	0
CALHM1	0.0686582967254735	0	0	0	0	0	0.0686582967254735	0	calcium homeostasis modulator 1	0
EDN1	0.0681202858488036	0	0	0	0	0	0.0681202858488036	0	endothelin 1	0
IAPP	0.0681005347687513	0	0	0	0	0	0.0681005347687513	0	islet amyloid polypeptide	0
CSF3	0.0680032266359043	0	0	0	0	0	0.0680032266359043	0	colony stimulating factor 3	0
TIMP1	0.0678485977227438	0	0	0	0	0	0.0678485977227438	0	TIMP metallopeptidase inhibitor 1	0
TP53	0.0676832698412698	0	0	0	0	0	0.0676832698412698	0	tumor protein p53	0
UGCG	0.0675444444444445	0	0	0	0	0	0.0675444444444445	0	UDP-glucose ceramide glucosyltransferase	0
LRP1	0.0674965617507899	0	0	0	0	0	0.0674965617507899	0	LDL receptor related protein 1	0
C9orf3	0.06747920787459	0	0	0	0	0	0.06747920787459	0	chromosome 9 open reading frame 3	0
CCL11	0.0674158888888889	0	0	0	0	0	0.0674158888888889	0	C-C motif chemokine ligand 11	0
CST3	0.0673454341409272	0	0	0	0	0	0.0673454341409272	0	cystatin C	0
ROCK1	0.0672416666666667	0	0	0	0	0	0.0672416666666667	0	Rho associated coiled-coil containing protein kinase 1	0
MAPK8IP1	0.0671417736205593	0	0	0	0	0	0.0671417736205593	0	mitogen-activated protein kinase 8 interacting protein 1	0
ALDH2	0.0668786574105308	0	0	0	0	0	0.0668786574105308	0	aldehyde dehydrogenase 2 family (mitochondrial)	0
SPTBN4	0.0668	0	0	0	0	0	0.0668	0	spectrin beta, non-erythrocytic 4	0
NTRK2	0.0667879172066595	0	0	0	0	0	0.0667879172066595	0	neurotrophic receptor tyrosine kinase 2	0
DYRK1A	0.0667009739260816	0	0	0	0	0	0.0667009739260816	0	dual specificity tyrosine phosphorylation regulated kinase 1A	0
GRM5	0.0666067456027671	0	0	0	0	0.00674607847705029	0.0649202259835045	0	glutamate metabotropic receptor 5	0
ADAM30	0.0664	0	0	0	0	0	0.0664	0	ADAM metallopeptidase domain 30	0
PPIF	0.0663459001499265	0	0	0	0	0	0.0663459001499265	0	peptidylprolyl isomerase F	0
QPCT	0.0659183900601207	0	0	0	0	0	0.0659183900601207	0	glutaminyl-peptide cyclotransferase	0
VGF	0.0658944444444444	0	0	0	0	0	0.0658944444444444	0	VGF nerve growth factor inducible	0
SYVN1	0.0657036660997733	0	0	0	0	0	0.0657036660997733	0	synoviolin 1	0
CCL2	0.0656431546763448	0	0	0	0	0	0.0656431546763448	0	C-C motif chemokine ligand 2	0
PGRMC1	0.0656166740325548	0	0	0	0	0.00953336279688579	0.0632333333333333	0	progesterone receptor membrane component 1	0
LDLR	0.0654057655277003	0.00414388627613958	0	0	0	0	0.0643697939586654	0	low density lipoprotein receptor	0
ECSIT	0.0653111111111111	0	0	0	0	0	0.0653111111111111	0	ECSIT signalling integrator	0
SH3GLB1	0.0652	0	0	0	0	0	0.0652	0	SH3 domain containing GRB2 like, endophilin B1	0
TLR2	0.0649943553592964	0	0	0	0	0	0.0649943553592964	0	toll like receptor 2	0
NOTCH1	0.0647382647048727	0	0	0	0	0	0.0647382647048727	0	notch 1	0
CNR2	0.0641868596128552	0	0	0	0	0	0.0641868596128552	0	cannabinoid receptor 2	0
NTRK1	0.0638714275380196	0	0	0	0	0	0.0638714275380196	0	neurotrophic receptor tyrosine kinase 1	0
NTF3	0.0637949790866519	0	0	0	0	0	0.0637949790866519	0	neurotrophin 3	0
P4HB	0.0637522786303982	0	0	0	0	0	0.0637522786303982	0	prolyl 4-hydroxylase subunit beta	0
CA3	0.0637070012074217	0	0	0	0	0	0.0637070012074217	0	carbonic anhydrase 3	0
NLRP1	0.0636888888888889	0	0	0	0	0	0.0636888888888889	0	NLR family pyrin domain containing 1	0
TLR4	0.0636372736621437	0	0	0	0	0	0.0636372736621437	0	toll like receptor 4	0
DNAJC5	0.0635477176870748	0	0	0	0	0	0.0635477176870748	0	DnaJ heat shock protein family (Hsp40) member C5	0
REN	0.063515208093136	0	0	0	0	0	0.063515208093136	0	renin	0
ODC1	0.0634665555555556	0	0	0	0	0	0.0634665555555556	0	ornithine decarboxylase 1	0
MT3	0.063354627568873	0	0	0	0	0	0.063354627568873	0	metallothionein 3	0
ADNP	0.0632837721218576	0	0	0	0	0	0.0632837721218576	0	activity dependent neuroprotector homeobox	0
THUMPD2	0.0632723921486534	0.0632723921486534	0	0	0	0	0	0	THUMP domain containing 2	0
CCRL2	0.0631731427815703	0.0631731427815703	0	0	0	0	0	0	C-C motif chemokine receptor like 2	0
NPY	0.0631213951053625	0	0	0	0	0.0140053189852035	0.0596200653590616	0	neuropeptide Y	0
CRP	0.0630565044553197	0.00394872159671207	0	0	0	0	0.0620693240561417	0	C-reactive protein	0
NCR2	0.0630304488738858	0.0630304488738858	0	0	0	0	0	0	natural cytotoxicity triggering receptor 2	0
CA1	0.0629727099259131	0	0	0	0	0	0.0629727099259131	0	carbonic anhydrase 1	0
CALB1	0.0629299805864175	0	0	0	0	0	0.0629299805864175	0	calbindin 1	0
AMIGO2	0.0628805511045025	0.0628805511045025	0	0	0	0	0	0	adhesion molecule with Ig like domain 2	0
CD36	0.062833678826832	0	0	0	0	0	0.062833678826832	0	CD36 molecule	0
IGF1R	0.0627181919586914	0	0	0	0	0.0147227156805707	0.0590375130385488	0	insulin like growth factor 1 receptor	0
MT-RNR2	0.0626578371842181	0	0	0	0	0	0.0626578371842181	0	mitochondrially encoded 16S RNA	0
APOD	0.0626532065525085	0	0	0	0	0	0.0626532065525085	0	apolipoprotein D	0
XAB2	0.0623075442176871	0	0	0	0	0	0.0623075442176871	0	XPA binding protein 2	0
ADD3	0.062246194913472	0	0	0	0	0	0.062246194913472	0	adducin 3	0
TCN2	0.062	0	0	0	0	0	0.062	0	transcobalamin 2	0
VIM	0.0618835388767077	0	0	0	0	0	0.0618835388767077	0	vimentin	0
PLA2G1B	0.0618715283727477	0	0	0	0	0	0.0618715283727477	0	phospholipase A2 group IB	0
RAF1	0.0618694444444444	0	0	0	0	0	0.0618694444444444	0	Raf-1 proto-oncogene, serine/threonine kinase	0
PLAU	0.0618620343370878	0	0	0	0	0	0.0618620343370878	0	plasminogen activator, urokinase	0
VDAC1	0.061678631185956	0	0	0	0	0	0.061678631185956	0	voltage dependent anion channel 1	0
NPTX1	0.0616693147858216	0	0	0	0	0	0.0616693147858216	0	neuronal pentraxin 1	0
DCN	0.0616055555555556	0	0	0	0	0	0.0616055555555556	0	decorin	0
GHRH	0.0615142321113631	0	0	0	0	0	0.0615142321113631	0	growth hormone releasing hormone	0
CLK1	0.0612468185941043	0	0	0	0	0	0.0612468185941043	0	CDC like kinase 1	0
NPTX2	0.0612454444444444	0	0	0	0	0	0.0612454444444444	0	neuronal pentraxin 2	0
ZNF292	0.0612211872290914	0.0612211872290914	0	0	0	0	0	0	zinc finger protein 292	0
IGFBP3	0.061106462585034	0	0	0	0	0	0.061106462585034	0	insulin like growth factor binding protein 3	0
APLP2	0.0609505881510541	0	0	0	0	0	0.0609505881510541	0	amyloid beta precursor like protein 2	0
MVP	0.060947662035537	0	0	0	0	0	0.060947662035537	0	major vault protein	0
TRPM2	0.0609131111111111	0	0	0	0	0	0.0609131111111111	0	transient receptor potential cation channel subfamily M member 2	0
MTFMT	0.0607	0	0	0	0	0	0.0607	0	mitochondrial methionyl-tRNA formyltransferase	0
NQO1	0.0606776308893928	0	0	0	0	0	0.0606776308893928	0	NAD(P)H quinone dehydrogenase 1	0
PIN1	0.0605655788112	0	0	0	0	0	0.0605655788112	0	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	0
BLVRA	0.0605137674477198	0	0	0	0	0	0.0605137674477198	0	biliverdin reductase A	0
IFNG	0.0604957092786927	0	0	0	0	0	0.0604957092786927	0	interferon gamma	0
CTSB	0.0604428915635832	0	0	0	0	0	0.0604428915635832	0	cathepsin B	0
NOS2	0.0604003579740911	0	0	0	0	0	0.0604003579740911	0	nitric oxide synthase 2	0
LPA	0.0603584536381127	0	0	0	0	0	0.0603584536381127	0	lipoprotein(a)	0
MT2A	0.0602715605807656	0	0	0	0	0	0.0602715605807656	0	metallothionein 2A	0
FGF2	0.06025054545751	0	0	0	0	0	0.06025054545751	0	fibroblast growth factor 2	0
ADAM17	0.0601696465763088	0	0	0	0	0	0.0601696465763088	0	ADAM metallopeptidase domain 17	0
AGRN	0.0601249014865205	0	0	0	0	0	0.0601249014865205	0	agrin	0
MAOA	0.0599728149361405	0	0	0	0	0	0.0599728149361405	0	monoamine oxidase A	0
HCRT	0.0599059880433648	0	0	0	0	0	0.0599059880433648	0	hypocretin neuropeptide precursor	0
PARK7	0.0598549583333188	0	0	0	0	0	0.0598549583333188	0	Parkinsonism associated deglycase	0
BACE2	0.0598487177356448	0	0	0	0	0	0.0598487177356448	0	beta-site APP-cleaving enzyme 2	0
SORBS3	0.0598	0	0	0	0	0	0.0598	0	sorbin and SH3 domain containing 3	0
COMT	0.0596135824095277	0	0	0	0	0	0.0596135824095277	0	catechol-O-methyltransferase	0
FKBP4	0.0595764784580499	0	0	0	0	0	0.0595764784580499	0	FK506 binding protein 4	0
APBB1	0.059491464064299	0	0	0	0	0	0.059491464064299	0	amyloid beta precursor protein binding family B member 1	0
NRDC	0.0594333333333333	0	0	0	0	0	0.0594333333333333	0	nardilysin convertase	0
CX3CL1	0.0594170463882327	0	0	0	0	0	0.0594170463882327	0	C-X3-C motif chemokine ligand 1	0
OLR1	0.059356746031746	0	0	0	0	0	0.059356746031746	0	oxidized low density lipoprotein receptor 1	0
GSTP1	0.0591	0	0	0	0	0	0.0591	0	glutathione S-transferase pi 1	0
CTNNB1	0.0590219666292903	0	0	0	0	0	0.0590219666292903	0	catenin beta 1	0
CXCL8	0.0589679538455978	0	0	0	0	0	0.0589679538455978	0	C-X-C motif chemokine ligand 8	0
UNC5C	0.0589511111111111	0	0	0	0	0	0.0589511111111111	0	unc-5 netrin receptor C	0
SORT1	0.058915120683517	0	0	0	0	0	0.058915120683517	0	sortilin 1	0
DPYSL2	0.0589089913131609	0	0	0	0	0	0.0589089913131609	0	dihydropyrimidinase like 2	0
GSK3A	0.0587143337219978	0	0	0	0	0	0.0587143337219978	0	glycogen synthase kinase 3 alpha	0
RB1CC1	0.0586277833517533	0	0	0	0	0.0105111334070131	0.056	0	RB1 inducible coiled-coil 1	0
SIRT1	0.0586073388623566	0	0	0	0	0	0.0586073388623566	0	sirtuin 1	0
APOC2	0.0585892222222222	0	0	0	0	0	0.0585892222222222	0	apolipoprotein C2	0
GSN	0.0585221790981968	0	0	0	0	0	0.0585221790981968	0	gelsolin	0
CYP46A1	0.0584644563753465	0	0	0	0	0	0.0584644563753465	0	cytochrome P450 family 46 subfamily A member 1	0
PLTP	0.0584086179138322	0	0	0	0	0	0.0584086179138322	0	phospholipid transfer protein	0
CETP	0.0581523500043492	0	0	0	0	0	0.0581523500043492	0	cholesteryl ester transfer protein	0
MAP2	0.0581458069810515	0	0	0	0	0	0.0581458069810515	0	microtubule associated protein 2	0
ZGLP1	0.0579916973611092	0	0	0	0	0	0.0579916973611092	0	zinc finger, GATA-like protein 1	0
FGF1	0.0579916061531262	0.00274373093485021	0	0	0	0	0.0573056734194137	0	fibroblast growth factor 1	0
SLC2A1	0.0578552222222222	0	0	0	0	0	0.0578552222222222	0	solute carrier family 2 member 1	0
APBA2	0.0577691599269337	0	0	0	0	0	0.0577691599269337	0	amyloid beta precursor protein binding family A member 2	0
SERPINA1	0.057724376362787	0	0	0	0	0	0.057724376362787	0	serpin family A member 1	0
MUC1	0.0577	0	0	0	0	0	0.0577	0	mucin 1, cell surface associated	0
LRRTM3	0.0576198293650794	0	0	0	0	0	0.0576198293650794	0	leucine rich repeat transmembrane neuronal 3	0
SERPINE2	0.0574833634432347	0	0	0	0	0	0.0574833634432347	0	serpin family E member 2	0
NOS3	0.0573280952380952	0	0	0	0	0	0.0573280952380952	0	nitric oxide synthase 3	0
IL18	0.0572580806918654	0	0	0	0	0	0.0572580806918654	0	interleukin 18	0
EIF2AK2	0.0572518028624694	0	0	0	0	0	0.0572518028624694	0	eukaryotic translation initiation factor 2 alpha kinase 2	0
PPARGC1A	0.0571694579540475	0	0	0	0	0	0.0571694579540475	0	PPARG coactivator 1 alpha	0
ITM2B	0.0571683891481166	0	0	0	0	0	0.0571683891481166	0	integral membrane protein 2B	0
MDK	0.0570385555555556	0	0	0	0	0	0.0570385555555556	0	midkine (neurite growth-promoting factor 2)	0
SMAD2	0.057	0	0	0	0	0	0.057	0	SMAD family member 2	0
ABCG2	0.0569552222222222	0	0	0	0	0	0.0569552222222222	0	ATP binding cassette subfamily G member 2 (Junior blood group)	0
RTN4R	0.0569342040816327	0	0	0	0	0	0.0569342040816327	0	reticulon 4 receptor	0
SLC1A3	0.0569194217687075	0	0	0	0	0	0.0569194217687075	0	solute carrier family 1 member 3	0
MMP9	0.0568106838627463	0	0	0	0	0	0.0568106838627463	0	matrix metallopeptidase 9	0
GDNF	0.0567687101358049	0	0	0	0	0	0.0567687101358049	0	glial cell derived neurotrophic factor	0
APBA3	0.0567377777777778	0	0	0	0	0	0.0567377777777778	0	amyloid beta precursor protein binding family A member 3	0
EPHA1	0.0567047396225708	0	0	0	0	0	0.0567047396225708	0	EPH receptor A1	0
DBN1	0.0566987362409729	0	0	0	0	0	0.0566987362409729	0	drebrin 1	0
NDOR1	0.0565367007968783	0	0	0	0	0	0.0565367007968783	0	NADPH dependent diflavin oxidoreductase 1	0
CYP19A1	0.0565087765895427	0	0	0	0	0	0.0565087765895427	0	cytochrome P450 family 19 subfamily A member 1	0
UCHL1	0.0563492201443613	0	0	0	0	0	0.0563492201443613	0	ubiquitin C-terminal hydrolase L1	0
APOA4	0.0563176666666667	0	0	0	0	0	0.0563176666666667	0	apolipoprotein A4	0
CD200	0.0562504444444445	0	0	0	0	0	0.0562504444444445	0	CD200 molecule	0
DLST	0.0562280617913832	0	0	0	0	0	0.0562280617913832	0	dihydrolipoamide S-succinyltransferase	0
VTN	0.0562	0	0	0	0	0	0.0562	0	vitronectin	0
BRAP	0.0561819263038549	0	0	0	0	0	0.0561819263038549	0	BRCA1 associated protein	0
LRP2	0.0559936555317722	0.00290814861770467	0	0	0	0	0.0552666183773461	0	LDL receptor related protein 2	0
IL4	0.0559623427899325	0	0	0	0	0	0.0559623427899325	0	interleukin 4	0
KLK6	0.0558891432842173	0	0	0	0	0	0.0558891432842173	0	kallikrein related peptidase 6	0
PCBD1	0.0558617617288115	0	0	0	0	0	0.0558617617288115	0	pterin-4 alpha-carbinolamine dehydratase 1	0
NEDD9	0.0558180292532667	0	0	0	0	0	0.0558180292532667	0	neural precursor cell expressed, developmentally down-regulated 9	0
ICAM1	0.0558008567149541	0	0	0	0	0	0.0558008567149541	0	intercellular adhesion molecule 1	0
CLSTN1	0.0557392222222222	0	0	0	0	0	0.0557392222222222	0	calsyntenin 1	0
HFE	0.0556005777519842	0	0	0	0	0	0.0556005777519842	0	hemochromatosis	0
TBXA2R	0.0556	0	0	0	0	0	0.0556	0	thromboxane A2 receptor	0
TERT	0.0555833333333333	0	0	0	0	0	0.0555833333333333	0	telomerase reverse transcriptase	0
IL19	0.0555356614311052	0.0524356614311052	0	0	0	0	0.0124	0	interleukin 19	0
LRP6	0.0555322222222222	0	0	0	0	0	0.0555322222222222	0	LDL receptor related protein 6	0
PCNA	0.0555136757614922	0	0	0	0	0	0.0555136757614922	0	proliferating cell nuclear antigen	0
EPHB2	0.0555115633267902	0	0	0	0	0	0.0555115633267902	0	EPH receptor B2	0
AQP4	0.0553573694082108	0	0	0	0	0	0.0553573694082108	0	aquaporin 4	0
LOX	0.0553281411662702	0	0	0	0	0	0.0553281411662702	0	lysyl oxidase	0
AKT1	0.0553250685941043	0	0	0	0	0	0.0553250685941043	0	AKT serine/threonine kinase 1	0
WWC1	0.0552906831196253	0	0	0	0	0	0.0552906831196253	0	WW and C2 domain containing 1	0
LRRK2	0.0551937159381394	0	0	0	0	0	0.0551937159381394	0	leucine rich repeat kinase 2	0
BECN1	0.055187376313854	0	0	0	0	0	0.055187376313854	0	beclin 1	0
DLG4	0.0551664307200551	0	0	0	0	0	0.0551664307200551	0	discs large MAGUK scaffold protein 4	0
DAPK1	0.0551132048687243	0	0	0	0	0	0.0551132048687243	0	death associated protein kinase 1	0
LGMN	0.0550694444444444	0	0	0	0	0	0.0550694444444444	0	legumain	0
VLDLR	0.0550028574622015	0	0	0	0	0	0.0550028574622015	0	very low density lipoprotein receptor	0
NOS1	0.0549940670040453	0	0	0	0	0	0.0549940670040453	0	nitric oxide synthase 1	0
ELAVL4	0.0549527777777778	0	0	0	0	0	0.0549527777777778	0	ELAV like RNA binding protein 4	0
ECSCR	0.0549	0	0	0	0	0	0.0549	0	endothelial cell surface expressed chemotaxis and apoptosis regulator	0
CD40LG	0.0548310819968439	0	0	0	0	0	0.0548310819968439	0	CD40 ligand	0
PRKCA	0.0548303219954649	0	0	0	0	0	0.0548303219954649	0	protein kinase C alpha	0
DERL1	0.0548	0	0	0	0	0	0.0548	0	derlin 1	0
NGFR	0.0547391149671896	0	0	0	0	0	0.0547391149671896	0	nerve growth factor receptor	0
TSPO	0.0546697099250212	0	0	0	0	0	0.0546697099250212	0	translocator protein	0
LTF	0.0545942577500789	0	0	0	0	0.0115997020710586	0.0516943322323142	0	lactotransferrin	0
HDAC6	0.0545311757604963	0	0	0	0	0	0.0545311757604963	0	histone deacetylase 6	0
CAV1	0.0544366247165533	0	0	0	0	0	0.0544366247165533	0	caveolin 1	0
GH1	0.0544275727087405	0	0	0	0	0	0.0544275727087405	0	growth hormone 1	0
RTN3	0.0543802869448973	0	0	0	0	0	0.0543802869448973	0	reticulon 3	0
OGDH	0.0543719535423227	0	0	0	0	0	0.0543719535423227	0	oxoglutarate dehydrogenase	0
HTR3A	0.0542204444444444	0	0	0	0	0	0.0542204444444444	0	5-hydroxytryptamine receptor 3A	0
GSTO1	0.0541922827790911	0	0	0	0	0	0.0541922827790911	0	glutathione S-transferase omega 1	0
APBB3	0.0541888888888889	0	0	0	0	0	0.0541888888888889	0	amyloid beta precursor protein binding family B member 3	0
ABCB1	0.0541166128348607	0	0	0	0	0	0.0541166128348607	0	ATP binding cassette subfamily B member 1	0
VGLL3	0.0540956311749696	0	0	0	0	0.0540956311749696	0	0	vestigial like family member 3	0
EIF2S1	0.0540362430801866	0	0	0	0	0	0.0540362430801866	0	eukaryotic translation initiation factor 2 subunit alpha	0
SNRNP70	0.0540022964654139	0	0	0	0	0.00640918586165545	0.0524	0	small nuclear ribonucleoprotein U1 subunit 70	0
ADH1B	0.054	0	0	0	0	0	0.054	0	alcohol dehydrogenase 1B (class I), beta polypeptide	0
PEMT	0.054	0	0	0	0	0	0.054	0	phosphatidylethanolamine N-methyltransferase	0
HIF1A	0.0538801994111388	0	0	0	0	0	0.0538801994111388	0	hypoxia inducible factor 1 alpha subunit	0
MMP2	0.0538552657489439	0	0	0	0	0	0.0538552657489439	0	matrix metallopeptidase 2	0
CXCL12	0.0537713101377468	0	0	0	0	0.00934506977082936	0.0514350426950394	0	C-X-C motif chemokine ligand 12	0
PON1	0.0537703168962937	0	0	0	0	0	0.0537703168962937	0	paraoxonase 1	0
STAT3	0.0537137628933116	0	0	0	0	0	0.0537137628933116	0	signal transducer and activator of transcription 3	0
HSD17B10	0.053663339128842	0	0	0	0	0	0.053663339128842	0	hydroxysteroid 17-beta dehydrogenase 10	0
LBP	0.0536555555470664	0	0	0	0	0	0.0536555555470664	0	lipopolysaccharide binding protein	0
IRS1	0.0536460476190476	0	0	0	0	0	0.0536460476190476	0	insulin receptor substrate 1	0
ST3GAL4	0.0536231835191614	0	0	0	0	0	0.0536231835191614	0	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	0
PTPRC	0.0536024555012088	0	0	0	0	0	0.0536024555012088	0	protein tyrosine phosphatase, receptor type C	0
SLC26A4	0.0536	0	0	0	0	0	0.0536	0	solute carrier family 26 member 4	0
ITPKB	0.0536	0	0	0	0	0	0.0536	0	inositol-trisphosphate 3-kinase B	0
